临床营养师（长春）,广州金酮医疗科技有限公司,6-10,长春,民营公司,50-150人,制药\生物工程,"['五险一金', '周末双休', '专业培训', '绩效奖金', '年终奖金', '节日福利', '带薪年假']","""大专"""
人事专员,修正药业集团营销有限公司,4-5,异地招聘,民营公司,10000人以上,制药\生物工程,"['周末双休', '餐饮补贴', '入职五险', '提供住宿', '公司食堂']","""本科"""
销售在线客服\天猫京东打字客服\淘宝客服,鞍山冠桥电子商务有限公司,5-7,异地招聘,民营公司,少于50人,互联网\电子商务,[''],"""中专"""
欧亚商都女装导购,吉林省荷素服装有限公司,7-10,长春-朝阳区,民营公司,150-500人,服装\纺织\皮革,"['五险', '带薪年假', '节日福利', '加班补助', '全勤奖', '绩效奖金']","""高中"""
中文阅读老师,深圳市蓝玛教育咨询有限公司,5-7,长春,合资,50-150人,专业服务(咨询、人力资源、财会),['专业培训'],"""本科"""
现场 \ 技术工程师,北京崇远信达科技有限公司,5-10,长春-朝阳区,民营公司,50-150人,计算机硬件,"['五险一金', '交通补贴', '年终奖金', '餐饮补贴', '通讯补贴']","""大专"""
省区经理,武汉人福药业有限责任公司,12-24,长春,上市公司,500-1000人,制药\生物工程,"['五险一金', '员工旅游', '交通补贴', '定期体检', '餐饮补贴']","""大专"""
iOS开发工程师,吉林省金晨科技有限公司,7-10,长春-二道区,民营公司,少于50人,计算机软件,[''],"""大专"""
拼多多客服,吉林省众恒网络科技有限公司,4-5,长春-朝阳区,民营公司,150-500人,互联网\电子商务,[''],"""无需经验"""
驻场机房运维工程师,吉林省智广恒胜科技有限公司,4-5,长春-南关区,民营公司,50-150人,计算机服务(系统、数据服务、维修),"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '员工旅游', '绩效奖金']","""大专"""
胚胎工程中心技术部长,内蒙古朗润牧禾农业有限责任公司,18-24,异地招聘,民营公司,少于50人,农\林\牧\渔,"['五险一金', '餐饮补贴', '优厚绩效奖金']","""博士"""
招生顾问（七险一金）,北京斑马天下教育科技有限公司,7-10,长春-南关区,民营公司,500-1000人,互联网\电子商务,"['五险一金', '补充医疗保险', '专业培训']","""大专"""
分公司经理（长春+四平+辽源）,重庆希尔安药业有限公司,20-30,长春,民营公司,1000-5000人,制药\生物工程,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训']","""大专"""
省区经理,中乐电器（中山）有限公司,10-15,长春-朝阳区,民营公司,500-1000人,家具\家电\玩具\礼品,[''],"""中专"""
医药销售代表,北京北陆药业股份有限公司,5-7,长春,上市公司,500-1000人,制药\生物工程,[''],"""大专"""
长春 临床协调员CRC,上海康康医药科技中心,7-14,长春,民营公司,150-500人,制药\生物工程,"['五险一金', '补充医疗保险', '交通补贴', '餐饮补贴', '通讯补贴', '弹性工作', '年终奖金', '绩效奖金']","""大专"""
华为IT售前工程师,四川长虹佳华信息产品有限责任公司,12-18,长春-朝阳区,国企,1000-5000人,计算机硬件,"['五险一金', '绩效奖金', '交通补贴', '餐饮补贴', '定期体检', '通讯补贴']","""大专"""
电商文案策划,吉林省黑熊电子商务有限公司,3-7,长春-南关区,创业公司,50-150人,互联网\电子商务,"['包吃', '五险', '全勤奖', '节日福利', '餐饮补贴']","""大专"""
销售代表,明宇实业集团吉林房地产开发有限公司,7-10,长春-净月经济开发区,合资,少于50人,多元化业务集团公司,[''],"""大专"""
销售代表,吉林省鸣升网络科技有限公司,5-7,长春,民营公司,少于50人,计算机软件,[''],"""大专"""
法语老师（线上授课）,深圳市兰登文化交流有限公司,6-22,异地招聘,民营公司,少于50人,教育\培训\院校,[''],"""本科"""
东北城市经理,雅士利国际集团有限公司,10-12,异地招聘,上市公司,10000人以上,快速消费品(食品、饮料、化妆品),"['五险一金', '通讯补贴', '定期体检']","""大专"""
食品质检安全员,吉林省春润生物科技有限公司,4-5,长春-宽城区,民营公司,50-150人,制药\生物工程,[''],"""本科"""
产品开发工程师（销售）,黑龙江鑫达企业集团有限公司,18-24,长春,民营公司,1000-5000人,原材料和加工,"['绩效奖金', '五险一金', '周末双休']","""本科"""
宝洁经理助理,长春盈泰贸易有限公司,4-5,长春-宽城区,民营公司,500-1000人,快速消费品(食品、饮料、化妆品),"['五险', '法定正常休息', '周末双休']","""大专"""
人事专员,吉林省合元汇商贸有限公司,2-5,长春-宽城区,创业公司,50-150人,贸易\进出口,"['五险一金', '节日福利', '周末双休', '全勤奖']","""无需经验"""
.NET开发工程师,北京波尔通信技术股份有限公司,8-14,长春-朝阳区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检', '节日福利', '午餐补助', '周末双休']","""大专"""
区域销售经理,沈阳嘉安腾达电子有限公司,8-10,长春-朝阳区,民营公司,50-150人,通信\电信\网络设备,"['做五休二', '周末双休', '弹性工作', '带薪年假', '绩效奖金', '节日福利', '专业培训', '五险一金']","""大专"""
文员打单员,吉林省百诚经贸有限公司,2-4,长春-二道区,民营公司,50-150人,家具\家电\玩具\礼品,[''],"""中技"""
新媒体运营专员,长春市寰亚房地产经纪有限公司,4-7,长春-净月经济开发区,民营公司,50-150人,房地产,"['五险一金', '员工旅游', '出国机会', '定期体检']","""大专"""
销售代表,吉林中财管道有限公司,2-4,长春-二道区,民营公司,500-1000人,建筑\建材\工程,[''],"""大专"""
医药代表,天津田边制药有限公司,10-15,异地招聘,合资,500-1000人,制药\生物工程,"['带薪年假', '五险一金', '专业培训', '十四薪', '海外研修']","""大专"""
少儿英语教师,长春市书戏教育培训学校有限公司,4-5,长春-朝阳区,民营公司,,教育\培训\院校,[''],"""大专"""
财务文员,长春鼎好五金商贸有限公司,4-5,长春-二道区,民营公司,少于50人,批发\零售,[''],"""大专"""
销售顾问,长春市盈信网络科技有限公司,10-12,长春-南关区,民营公司,50-150人,计算机软件,"['带薪年假', '绩效奖金', '全勤奖', '专业培训', '不加班', '节日福利']","""无需经验"""
汽车销售,长春市朗威汽车销售有限公司,10-12,长春-南关区,民营公司,少于50人,汽车,"['弹性工作', '包吃', '专业培训', '绩效奖金']","""高中"""
北方KA经理,凯撒名尊国际酒业（北京）有限公司,8-12,异地招聘,民营公司,少于50人,快速消费品(食品、饮料、化妆品),"['五险', '周末双休']","""大专"""
运营主任,北京中葡尼雅酒业营销有限公司,5-7,长春,国企,150-500人,快速消费品(食品、饮料、化妆品),[''],"""中专"""
电气维修工,肯联英利（长春）汽车结构有限公司,5-7,长春-朝阳区,合资,150-500人,汽车,"['免费班车', '餐饮补贴', '五险一金', '包吃', '绩效奖金', '节日福利']","""中专"""
仓库管理员,吉林省同康医药有限公司,4-4,长春-宽城区,民营公司,少于50人,医疗设备\器械,[''],"""中专"""
美术老师,吉林省森森秀色文艺创作有限公司,24-30,长春-南关区,合资,少于50人,文字媒体\出版,[''],"""大专"""
文案策划,吉林省凤之凰传媒有限公司,5-7,长春-净月经济开发区,合资,少于50人,影视\媒体\艺术\文化传播,['五险一金'],"""无需经验"""
电话销售,吉林省弘商医药科技有限公司,6-10,长春,民营公司,,制药\生物工程,['13薪'],"""大专"""
患者招募专员（医药销售\医药学术推广）,北京厚普医药科技有限公司,10-19,长春,民营公司,150-500人,医疗\护理\卫生,"['五险一金', '餐饮补贴', '通讯补贴', '弹性工作', '定期体检', '专业培训', '绩效奖金', '年终奖金']","""大专"""
人事专员,三元恒基技术开发（长春）有限公司,4-5,长春,民营公司,少于50人,仪器仪表\工业自动化,[''],"""大专"""
线上策划经理,榆树市心声活商贸有限公司,4-6,长春-榆树市,民营公司,500-1000人,批发\零售,[''],"""大专"""
驻地招商经理（吉林）,科兴生物制药股份有限公司,10-12,异地招聘,民营公司,1000-5000人,制药\生物工程,"['五险一金', '弹性工作', '专业培训']","""大专"""
项目负责人 ，土建和安装负责人,辽宁杰威工程造价咨询有限责任公司,12-18,异地招聘,民营公司,50-150人,建筑\建材\工程,"['五险一金', '交通补贴', '员工旅游', '绩效奖金', '年终奖金', '餐饮补贴']","""大专"""
驻店销售,吉林省爱温汽车用品有限公司,7-10,长春-经济技术开发区,民营公司,50-150人,汽车,"['绩效奖金', '全勤奖', '节日福利', '专业培训', '交通补贴', '年终奖金']","""1年经验"""
销售经理,长春纳奇智润广告有限公司,4-7,长春,民营公司,50-150人,广告,[''],"""中专"""
城市经理,梦洁品牌事业部,12-22,异地招聘,上市公司,1000-5000人,服装\纺织\皮革,"['五险一金', '绩效奖金', '年终奖金', '定期体检', '节日福利', '带薪年假', '包住']","""大专"""
生产操作工,长春美力弹簧有限公司,7-10,长春-汽车产业开发区,上市公司,少于50人,汽车,"['五险一金', '绩效奖金', '节日福利', '高温补贴']","""初中及以下"""
药品招商北湖,吉林省紫淇医药物流有限公司,4-5,长春-宽城区,民营公司,50-150人,制药\生物工程,[''],"""无需经验"""
服务员,百胜餐饮（沈阳）有限公司长春必胜客栖乐荟餐厅,4-5,长春-高新技术产业开发区,民营公司,150-500人,餐饮业,[''],"""高中"""
化学计量工程师,辽宁东测检测技术有限公司,4-12,长春-净月经济开发区,民营公司,150-500人,检测，认证,"['五险一金', '年终奖金', '员工旅游', '节日福利', '带薪年假', '加班补贴', '补充医疗保险', '绩效奖金', '专业培训']","""本科"""
招聘专员\人事助理,中国人寿保险股份有限公司长春市南关支公司,5-7,长春-南关区,国企,150-500人,保险,"['周末双休', '弹性工作', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '住房补贴']","""大专"""
招商经理,上海康黎医学检验所有限公司,10-18,异地招聘,民营公司,50-150人,医疗\护理\卫生,"['专业培训', '年终奖金', '绩效奖金', '弹性工作']","""大专"""
投标专员,长春一汽实业建筑安装有限公司,4-5,长春,民营公司,150-500人,建筑\建材\工程,[''],"""大专"""
电子琴老师,印乐文化传播长春有限公司,4-5,长春-汽车产业开发区,民营公司,少于50人,教育\培训\院校,[''],"""本科"""
酒店经理,北京秋果酒店管理有限公司,12-22,长春,民营公司,500-1000人,酒店\旅游,[''],"""大专"""
船务\捕捞调度,上海全位物流发展有限公司,12-18,异地招聘,民营公司,50-150人,交通\运输\物流,"['出国机会', '餐饮补贴']","""大专"""
（高级）医疗器械销售代表-外科,强生（上海）医疗器材有限公司,10-12,长春,外资（欧美）,,医疗设备\器械,"['五险一金', '交通补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '500强', '补充医疗保险', '弹性工作']","""本科"""
吉林区域经理,广东雅诚德实业有限公司,10-18,异地招聘,民营公司,1000-5000人,批发\零售,"['包吃', '包三餐', '包住宿', '带薪年假', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""大专"""
（高级）销售代表,至本医疗科技（上海）有限公司,10-16,异地招聘,民营公司,150-500人,制药\生物工程,"['五险一金', '交通补贴', '绩效奖金', '年终奖金', '定期体检', '专业培训', '补充医疗保险', '通讯补贴']","""大专"""
仓库管理员,吉林省德力材料工程有限公司,4-5,长春,民营公司,50-150人,建筑\建材\工程,"['五险一金', '绩效奖金', '全勤奖']","""1年经验"""
销售经理(吉林省),广州科方生物技术股份有限公司,10-14,长春,民营公司,150-500人,医疗设备\器械,"['五险一金', '节日福利', '弹性工作', '员工旅游', '定期体检', '免费班车', '绩效奖金', '交通补贴', '餐饮补贴']","""大专"""
商务礼仪,长春经济技术开发区启达软件科技商行,6-14,长春-经济技术开发区,民营公司,少于50人,计算机软件,[''],"""中专"""
网络大人,吉林省艺鹏文化传媒有限责任公司,12-18,长春-经济技术开发区,民营公司,150-500人,影视\媒体\艺术\文化传播,"['五险一金', '专业培训', '弹性工作']","""无需经验"""
制造系长,吉林省普拉那汽车部件有限公司,5-7,异地招聘,民营公司,50-150人,汽车,"['带薪年假', '五险一金', '全勤奖', '加班补贴']","""大专"""
